Contexto,Pergunta,Resposta,source_file,stringFilter,isAlign,isEnv,isSocial,isGovernance,isGeneral,Comentários
"As a college freshman trying to explore different subject areas, your magazine has been amazing in introducing me to wildlife conservation and organizations in a fun and interactive way,\"" said a student reader.",What impact does the magazine have on a college student's understanding of environmental issues?,"It helps students explore subject areas like wildlife conservation and learn about organizations working in the field, enhancing their understanding of environmental issues.",ESGBERT/environment_data,none,1,1,1,0,0,A pergunta é bastante dependente do contexto
"We discuss the ways we use the information we collect, and how customers can find out more about the personal information we collect about them, on the Privacy & Security Center page of our corporate website.",What kind of information is made available to customers through the corporate website?,"Through the corporate website, customers are made aware of the ways their personal information is used and can find out more about the data collected about them.",ESGBERT/governance_data,none,1,0,0,1,0,A pergunta é bastante dependente do contexto
Served 6 The quality and safety of our products and services are a high priority.,What does the organization emphasize in relation to its offerings?,The organization emphasizes the quality and safety of its products and services.,ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bastante dependente do contexto
"Total water consumption for Domino's corporate supply chain centers and stores in 2019 is estimated to be 91,575 m3 (91.58 ML).",What might Domino's consider to improve its environmental performance based on the water usage data?,"Domino's might consider adopting water conservation practices, improving water efficiency, or investing in sustainable water management systems to improve its environmental performance.",ESGBERT/governance_data,none,1,1,0,0,0,Pergunta específica demais.
"We protect these gains through rigorous patrolling, bolstering law enforcement, and partnering with communities to foster conservation.",How is community involvement utilized in the conservation efforts?,Communities are partnered with to foster conservation.,ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
"For more information on our commitment to ethics and compliance, see the Governance section of this report.",Where can one find more details about the company's commitment to ethics and compliance?,More details about the company's commitment to ethics and compliance can be found in the Governance section of the report.,ESGBERT/governance_data,none,1,0,0,1,0,A pergunta é bastante dependente do contexto
Our commitment to serving the communities where we operate goes back to were organized and our first corporate donation was made.,When did the organization begin its corporate donations to communities?,The organization began its corporate donations to communities when it was first organized.,ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bastante dependente do contexto
"ESG and sustainability strategy While this Report focuses on our internal ESG initiatives and actions, our impact is not solely internal.","What does the mention of \""our impact is not solely internal\"" suggest about the organization's approach to ESG?","It suggests that the organization considers the external effects of its ESG initiatives, implying a commitment to creating broader, positive sustainability outcomes beyond its internal systems.",ESGBERT/governance_data,none,1,1,0,1,0,A pergunta é bastante dependente do contexto
This expansion makes it the second-largest marine national park in the Mediterranean and the first one to protect deep-sea ecosystems in Spain.,What new type of ecosystem does this marine national park now protect?,It now protects deep-sea ecosystems.,ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
"• Co-created a toolkit for senior centers to incorporate ridesharing into community transportation strategies through an initiative with Lyft and senior center partners, informed by a multi-site pilot.",What was the basis for developing the toolkit to support senior centers in using ridesharing services?,The toolkit was informed by a multi-site pilot that tested the integration of ridesharing into community transportation strategies.,ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bastante dependente do contexto
"It serves as a central hub to recognize associates for living our values, promote company news, cultivate connections between front-line and corporate associates and fuel the orangeblooded entrepreneurial spirit that’s part of what drives our business every day.",What role does recognition play in the company’s efforts to embody its values?,"Recognition is used as a tool to highlight and reward associates who live the company’s values, thereby reinforcing them within the organization.",ESGBERT/governance_data,none,1,0,0,1,0,A pergunta é bastante dependente do contexto
they become participants in solving their family’s water crisis.,What approach is encouraged to address water scarcity within families?,An approach involving active participation of family members in solving their water crisis is encouraged.,ESGBERT/social_data,none,1,1,1,0,0,Pergunta não parece ter uma resposta concreta sem o contexto.
Signet is a Great Place to Work-Certified™ company and has been named to the Bloomberg Gender-Equality Index for four consecutive years.,For how many consecutive years has Signet been included in the Bloomberg Gender-Equality Index?,Signet has been included in the Bloomberg Gender-Equality Index for four consecutive years.,ESGBERT/social_data,none,1,0,1,0,0,Pergunta não parece ter utilidade prática.
This unrivaled biodiversity haven is an important carbon sink that fortifies our natural defenses against climate change.,What environmental role does this biodiversity haven play in strengthening natural systems?,"It fortifies natural defenses against climate change, enhancing ecosystem resilience.",ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
"In the context of this Report, the term “material” is distinct from, and should not be confused with, such term as defined for SEC reporting purposes.","What potential implications could arise from conflating the two definitions of \""material\""?","Conflating the two definitions could lead to misinterpretations of the report's findings, misaligned stakeholder expectations, and a lack of clarity in how ESG-related issues are prioritized and communicated.",ESGBERT/governance_data,none,1,1,0,0,0,"Na dúvida, coloquei aqui, pois parece ser uma pergunta que depende do contexto."
"With hundreds, if not thousands, of new dams planned and under construction in this region of free-flowing rivers— sometimes known as the “blue heart” of Europe—TNC is also advocating for smart renewable energy and river protections.",Why might the construction of dams in this region be a concern for environmental protection?,"The region is described as having free-flowing rivers, suggesting that damming could disrupt these natural systems and harm their ecological integrity.",ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
Our Solution Exchange Policy requires a log to ensure the process is conducted in a timely manner.,What mechanism is in place to ensure the Solution Exchange Policy is implemented in a timely manner?,A log is required to ensure the process is conducted in a timely manner.,ESGBERT/governance_data,none,1,0,0,1,0,Pergunta parece ser específica demais.
"Relying on Connie’s decades of experience as a certified public accountant, the LaFonds decided the best way to support TNC’s future work was through a bequest and a deferred gift annuity.",What professional experience informed the LaFonds’ decision on how to support TNC?,The decision was informed by Connie’s decades of experience as a certified public accountant.,ESGBERT/governance_data,none,1,0,0,1,0,Achei tanto a pergunta quanto a resposta extremamente confusos.
"Program Organizational GrowthDespite the negative impacts of COVID-19 over the last two years, thanks to the efforts of our adaptable team and steadfast supporters, we continue to benefit from steady growth in financial resources to support current and future conservation efforts.",How have the organization's efforts contributed to conservation despite the challenges posed by the pandemic?,"The efforts of the adaptable team and steadfast supporters have ensured steady growth in financial resources, which in turn supports current and future conservation efforts.",ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
"Ultimately, our goal is to expand and strengthen management of protected areas where elephants occur now, as well as in some regions where they used to occur, so their populations can fully recover, rewild, and thrive.",What geographic focus is mentioned for improving the management of protected areas?,The focus is on areas where elephants currently occur and some regions where they used to occur.,ESGBERT/governance_data,none,1,1,0,1,0,A pergunta é bastante dependente do contexto
"Living our values has allowed us to be recognized for our Corporate Social Responsibility efforts for the a row, including best practices in all our programs and focusing on maintaining sustainable relationships with our stakeholders to continue providing the best service.",What recognition has the organization received as a result of its Corporate Social Responsibility efforts?,"The organization has been recognized for its Corporate Social Responsibility efforts, including best practices in all its programs.",ESGBERT/governance_data,none,1,0,1,1,0,A pergunta é bastante dependente do contexto
