Contexto,Pergunta,Resposta,source_file,stringFilter,isAlign,isEnv,isSocial,isGovernance,isGeneral,Comentários
Restoring tigers by increasing their food sources: WCS recently led research on how to fully restore a key tiger landscape by rewildling it with large prey animals.,What role does rewilding play in restoring tiger habitats?,Rewilding plays a critical role in restoring tiger habitats by reintroducing large prey species that help support and sustain tiger populations in the ecosystem.,ESGBERT/environment_data,none,1,1,0,0,0,Pode ser respondida sem o contexto.
Earthjustice attorneys are representing community and environmental groups as they press the government for meaningful action to transition to clean energy.,What kind of support are Earthjustice attorneys providing to community and environmental groups?,Earthjustice attorneys are providing legal support to represent these groups and press the government for meaningful action to transition to clean energy.,ESGBERT/social_data,none,1,0,1,1,0,O par faz sentido e não depende do contexto
"The Leadership Development and Compensation Committee of the Board of Directors, which is tasked with providing oversight of our human capital management strategy and our diversity and inclusion efforts, receives regular updates on these findings.",What type of updates does the Leadership Development and Compensation Committee receive?,Regular updates on the findings related to human capital management strategy and diversity and inclusion efforts.,ESGBERT/governance_data,none,1,0,1,1,0,O par faz sentido e não depende do contexto
"Below is Signet’s response to the SASB Standards, an industry-specific reporting framework that allows investors to compare ESG performance across industry peers more easily.",How does Signet's use of the SASB Standards benefit investors?,It allows investors to compare ESG performance across industry peers more easily.,ESGBERT/governance_data,none,1,0,0,1,0,A pergunta pode ser respondida sem o contexto.
This is exactly the challenge WRI embraces: To find and promote practical solutions for system-wide change at scale that ensures people and nature can thrive.,What does WRI seek to change on a large scale?,WRI seeks to change systems to ensure thriving for both people and nature.,ESGBERT/environment_data,none,1,1,1,0,0,A pergunta não depende do contexto para que seja respondida.
"For the Water, Peace and Security Partnership, he and the rest of the team work to identify and help resolve potential conflicts connected to water.","What is one of the main objectives of the Water, Peace and Security Partnership?",One of the main objectives is to identify and help resolve potential conflicts connected to water.,ESGBERT/social_data,none,1,1,0,0,0,O par de pergunta e responsta é condizente e não precisa do contexto para ser respondida.
"Ohio regulators canceled permits for the Mountaineer gas storage facility which, if built, would facilitate the development of additional infrastructure that would turn fracked gas into the feedstock for plastics, emitting millions of tons of carbon pollution and cancer-causing air toxics in the process.",What decision did Ohio regulators make regarding the Mountaineer gas storage facility?,Ohio regulators canceled the permits for the Mountaineer gas storage facility.,ESGBERT/environment_data,none,1,1,0,0,0,Bom par.
"general with wildlife trafficking, conspiracy, and animal cruelty.",How can addressing wildlife trafficking contribute to environmental sustainability?,"Addressing wildlife trafficking can help preserve ecosystems, protect endangered species, and maintain ecological balance, all of which are critical to environmental sustainability.",ESGBERT/environment_data,none,1,1,0,0,1,"O contexto está meio estranho, mas o par de pergunta e resposta é muito bom, principalmente por ser uma pergunta de conhecimento geral."
Earthjustice was privileged to represent the Maya children in their fight to protect their constitutional right to a healthy environment and dignified life.,Which organization provided legal representation to the Maya children in their fight?,Earthjustice provided legal representation to the Maya children.,ESGBERT/governance_data,none,1,0,1,1,0,Pode ser respondida sem o contexto.
"Joined partners on an expedition to collect agave palmeri seeds in the Chiricahua and Peloncilllo Mountains of southeast Arizona, to be raised in Borderlands Restoration Network and Gila Watershed Partnership greenhouses. Collected an additional seeds of four agave species to be grown in renovated community nurseries in northeast Mexico under the leadership of local conservation NGO Especies, Sociedad y Hábitat, A.C. and industry partner CEMEX.",Which organizations are involved in the cultivation of agave seeds collected in southeast Arizona?,"The Borderlands Restoration Network, the Gila Watershed Partnership, Especies, Sociedad y Hábitat, A.C., and CEMEX are involved in the cultivation of agave seeds collected in southeast Arizona.",ESGBERT/social_data,none,1,0,1,0,0,Pergunta pode ser respondida sem o contexto.
"by climate change, traditional methods of wild honey collection have sometimes caused catastrophic forest fires, further degrading the integrity of remaining forests.",How has climate change impacted traditional wild honey collection methods?,Climate change has made traditional wild honey collection methods sometimes cause catastrophic forest fires.,ESGBERT/environment_data,none,1,1,0,0,1,O par é bom e a pergunta me parece ser bem geral.
"Carlos Rojas / Getty Images Fifty years ago, Earthjustice was founded in an era of unprecedented lawmaking in response to environmental crises that gripped the public consciousness—from rivers on fire and deadly smog to massive oil spills and rampant chemical poisoning.",What environmental crises prompted the founding of Earthjustice fifty years ago?,"The founding of Earthjustice was prompted by environmental crises such as rivers on fire, deadly smog, massive oil spills, and rampant chemical poisoning.",ESGBERT/environment_data,none,1,1,0,0,0,
"In fact, efforts to protect nature have excluded many of these communities through racial, economic and other barriers.",How do racial and economic barriers impact efforts to protect nature?,Racial and economic barriers exclude many communities from participating in or benefiting from efforts to protect nature.,ESGBERT/environment_data,none,1,1,1,0,0,
"Along the way, Whimbrels use critical coastal and wetland habitat in the Central Valley, the Colorado River Delta, and Panama.",Which specific geographic areas are highlighted as critical habitats for Whimbrels?,"The Central Valley, the Colorado River Delta, and Panama are highlighted as critical habitats for Whimbrels.",ESGBERT/environment_data,none,1,1,0,0,0,
"—DUSTIN SOLBERG A Tribe in Maine Welcomes an Island’s Rightful Return An Indigenous community reclaims a piece of its native land. People and Place: Darrel Newell, vice-chief of Passamaquoddy Tribe at Indian Township, visits Pine Island after its return to the tribe.",What social significance does the return of Pine Island hold for the Passamaquoddy Tribe?,"The return of Pine Island holds the significance of reclaiming a piece of native land, which is a step toward restoring Indigenous sovereignty and cultural heritage.",ESGBERT/social_data,none,1,0,1,1,0,
"But if the rains are late or fail altogether, drought compounds the pressures of the dry season, diminishing harvests and milk production on family dairy farms.",What are the consequences of delayed or absent rains for agricultural systems dependent on natural rainfall?,"Delayed or absent rains lead to drought, which diminishes harvests and milk production, putting pressure on agricultural systems dependent on natural rainfall.",ESGBERT/environment_data,none,1,1,0,0,1,
"Marine mammals are ecosystem indicators, and the health of these animals provides insights into human and ocean health threats.",What does the health of marine mammals reveal about broader ecological issues?,"The health of marine mammals reveals potential threats to ocean health, which in turn can impact human health.",ESGBERT/environment_data,none,1,1,0,0,1,
"Oceana leverages law, science, grassroots activism, lobbying, and strategic communications to win policy change around the world.",How does Oceana integrate community engagement into its governance approach?,"Oceana integrates community engagement through grassroots activism, empowering local communities to contribute to policy change efforts.",ESGBERT/governance_data,none,1,0,1,1,0,
Safety Takes EveryONE requires leaders to engage with their associates early in their career to establish a positive safety culture.,At what stage in an associate's career should leaders begin engaging to foster a positive safety culture?,Leaders should begin engaging with associates early in their career.,ESGBERT/governance_data,none,1,0,0,1,1,
"In addition, the world’s two leading carbon polluters, China and the United States, pledged to work together to reduce emissions.",What is the primary environmental issue that China and the United States have agreed to address together?,They have agreed to address the issue of carbon emissions.,ESGBERT/environment_data,none,1,1,0,1,1,
"But if the rains are late or fail altogether, drought compounds the pressures of the dry season, diminishing harvests and milk production on family dairy farms.",What impact does drought have on the agricultural output of family dairy farms?,Drought reduces agricultural output by diminishing harvests and lowering milk production.,ESGBERT/social_data,none,1,0,1,0,1,
Program Signet’s Board of Directors and Leadership Team have oversight and accountability for sustainability within the organization.,What role does Program Signet’s Leadership Team play in sustainability governance?,The Leadership Team has oversight and accountability for sustainability within the organization.,ESGBERT/governance_data,none,1,0,0,1,1,
"(and (2) percentage of restaurant employees earning minimum wage, by region FB-RN310a.2 Total amount of monetary losses as a result of legal proceedings associated with (1) labor law violations and (2) employment discrimination FB-RN310a.3 Domino's is committed to following all labor laws and does not tolerate discrimination.",What specific ESG-related metric is measured by the percentage of restaurant employees earning minimum wage?,"It is a metric related to labor practices under the Social pillar of ESG, reflecting fair compensation and labor standards across different regions.",ESGBERT/social_data,none,1,0,1,0,0,
"A United Nations Environment Programme report, Preventing the Next Pandemic: Zoonotic diseases and how to break the chain of transmission, identifies major trends driving the increasing emergence of zoonotic diseases— including increased demand for animal protein, a rise in intense and unsustainable farming, and increased use and exploitation of wildlife.","How does the increased demand for animal protein contribute to the emergence of zoonotic diseases, according to the report?","The increased demand for animal protein drives intense and unsustainable farming, which is a major trend contributing to the emergence of zoonotic diseases.",ESGBERT/environment_data,none,1,1,0,0,1,
"Water discharge Total water discharges for Domino's corporate stores and supply chain centers in 2019 are estimated to be 845,686 m3 (845.69 ML).",Which operational areas of Domino's contributed to water discharge in 2019?,The water discharge in 2019 came from Domino's corporate stores and supply chain centers.,ESGBERT/governance_data,none,1,1,0,0,0,
Oceana’s Approach Oceana’s mission is to win policy victories that restore the world’s oceans.,What is Oceana's primary objective in its work related to environmental governance?,Oceana's primary objective is to win policy victories that restore the world’s oceans.,ESGBERT/governance_data,none,1,1,0,1,0,
"Getting the Gold from GuideStar USA! GuideStar USA, Inc., the premier source of nonprofit information, awarded American Humane the Gold Level, by demonstrating our deep commitment to nonprofit transparency and accountability.",Which ESG pillar is primarily addressed by American Humane’s recognition from GuideStar USA?,"The Social pillar is primarily addressed by American Humane’s recognition from GuideStar USA, focusing on transparency and accountability.",ESGBERT/social_data,none,1,0,1,1,0,
The dam also kept natural flows of rejuvenating water from reaching the lake and maintaining river habitats along the way.,What consequence does the interruption of water flow have on the river ecosystem?,The interruption of water flow negatively affects the river ecosystem by preventing the maintenance of natural habitats.,ESGBERT/environment_data,none,1,1,0,0,1,
Omnicom’s aim is to help its advertiser clients achieve their goals by serving the right advertisement at the right time to the right audience.,How does Omnicom support its advertiser clients in achieving their marketing objectives?,Omnicom supports its advertiser clients by ensuring that advertisements are delivered to the right audience at the right time.,ESGBERT/governance_data,none,1,0,1,1,0,
"With its towering old-growth and mature stands of trees, it absorbs and stores more heat-trapping carbon than any other U.S. forest.",How does the presence of old-growth and mature trees contribute to climate change mitigation?,By absorbing and storing significant amounts of heat-trapping carbon.,ESGBERT/environment_data,none,1,1,0,0,1,
"Science has shown that elephants play a key role in the growth and health of forests by dispersing seeds, minerals, and nutrients over long distances, and by opening pathways and mineral-rich clearings.",What role do elephants play in shaping forest ecosystems?,"Elephants play a key role in shaping forest ecosystems by creating pathways and mineral-rich clearings, which can influence the distribution of plant and animal life.",ESGBERT/environment_data,none,1,1,0,0,0,Possivelmenete poderia ser classificada como pergunta geral
"In addition, all Signet suppliers are subject to audit for any reason, at any time.",How does Signet reinforce compliance and ethical behavior in its supply chain?,Signet reinforces compliance and ethical behavior in its supply chain by subjecting all suppliers to potential audits without prior notice or specific reason.,ESGBERT/governance_data,none,1,0,0,1,0,
"Suppliers of ours like Mendocino Redwood Company (MRC ) and Humboldt Redwood Company (HRC™) seek to be examples of forest restoration and show how private forest management can protect and restore the ecological attributes of the forest, and whose forestlands are certified by the Forest Stewardship Council (FSC) as being well-managed forests.",How can forest restoration efforts by private companies like Mendocino Redwood Company and Humboldt Redwood Company influence broader environmental practices?,Forest restoration efforts by private companies like Mendocino Redwood Company and Humboldt Redwood Company can influence broader environmental practices by serving as examples of sustainable forest management and promoting ecological restoration.,ESGBERT/governance_data,none,1,1,0,1,1,"Talvez classificar essa como uma pergunta geral seja exagero, porém sinto que é uma pergunta que não é tão dificil de inferir uma resposta."
"UCS combined this science with action, actively pushing for protections from extreme heat such as an occupational safety standard that includes contributions from UCS scientists and reflects the positions of the Good Food for All coalition that UCS coordinates.",What is the purpose of the occupational safety standard that UCS is advocating for?,The purpose of the occupational safety standard is to provide protections from extreme heat.,ESGBERT/governance_data,none,1,0,1,1,0,
"The SRSP asks suppliers to identify all diamonds supplied to Signet in any of four diamond categories: ◆ Hygiene, health and safety ◆ Waste management ◆ Child and young labor ◆ Working hours and wages ◆ Labor practices, including forced labor, worker representation, disciplinary practices and discrimination.",What specific social issues does the SRSP require suppliers to address regarding diamond sourcing?,"The SRSP requires suppliers to address hygiene, health and safety, waste management, child and young labor, working hours and wages, and labor practices such as forced labor, worker representation, disciplinary practices, and discrimination.",ESGBERT/social_data,none,1,0,1,0,0,
—DUSTIN SOLBERG A Partnership to Protect Caribbean Communities TNC and the Red Cross/Crescent join forces to protect people and nature from climate threats.,How does the partnership between TNC and the Red Cross/Crescent contribute to addressing climate threats in the Caribbean?,The partnership contributes by protecting both people and nature from climate threats in the Caribbean.,ESGBERT/environment_data,none,1,1,0,1,0,Acredito que a pergunta possa ser respondida sem o contexto.
"While the world moved toward a state of normalcy this year, our vision of safe water and sanitation for all remained essential in all that we do.",Why is the vision of safe water and sanitation for all considered essential?,"Because it remained essential in all activities, highlighting its importance regardless of the global situation.",ESGBERT/environment_data,none,1,1,1,0,1,
"Signet’s policy to purchase from RJC members is a key component of our responsible sourcing program, including supply chain risk assessment and due diligence process.",What is the significance of due diligence in Signet’s approach to responsible sourcing?,Due diligence is significant in Signet’s approach to responsible sourcing as it underpins the company's policy to purchase from RJC members and manage supply chain risks effectively.,ESGBERT/governance_data,none,1,0,0,1,0,
"In Papua New Guinea, WCS is working directly with women and other community members in the eastern part of the country to establish a new coastal MPA (square kilometers) and a new offshore MPA (5,000 square kilometers), both of which will be critical for community livelihoods as well as conservation of key fish and ray species.",Which species are expected to benefit from the establishment of the new MPAs in Papua New Guinea?,Key fish and ray species are expected to benefit from the establishment of the new MPAs.,ESGBERT/environment_data,none,1,1,0,0,0,
they become participants in solving their family’s water crisis.,How can community involvement contribute to addressing water crises at the family level?,"By becoming participants in solving their family’s water crisis, individuals can directly contribute to sustainable and localized solutions that improve access to clean water.",ESGBERT/governance_data,none,1,1,1,0,1,"O contexto é meio ruim, mas o par em si me parece bem bom."
Food safety cannot be guaranteed by a simple standards-based approach.,Why might a standards-based approach alone be insufficient for ensuring food safety?,Because food safety cannot be guaranteed by a simple standards-based approach.,ESGBERT/social_data,none,1,0,1,0,1,
NCOA created Age Well Planner to provide a trusted resource for adults to plan their retirement journey and ensure they can meet their goals for healthy aging.,What initiative did NCOA launch to support adults in planning for healthy aging?,NCOA launched the Age Well Planner initiative to provide a trusted resource for adults to plan their retirement journey and ensure they can meet their goals for healthy aging.,ESGBERT/social_data,none,1,0,1,0,0,
"Thanks to the increasing generosity of our community, we were able to defend bats and their role in nature.",What social benefit does defending bats contribute to?,"Defending bats contributes to raising awareness about their role in nature, which supports biodiversity and environmental education within the community.",ESGBERT/social_data,none,1,1,1,0,1,
"WCS sets the standard worldwide for best-in-class animal care, innovative exhibits, and zoo-based conservation through our powerful combination of five urban parks— the Bronx Zoo, New York Aquarium, Central Park Zoo, Queens Zoo, and Prospect Park Zoo—and conservation work in 60 countries across the globe.",What role do WCS's urban parks play in promoting conservation globally?,"WCS's urban parks, including the Bronx Zoo, New York Aquarium, Central Park Zoo, Queens Zoo, and Prospect Park Zoo, serve as platforms for best-in-class animal care and innovative exhibits, which support and amplify the organization's conservation efforts in 60 countries worldwide.",ESGBERT/governance_data,none,1,1,0,1,0,
"By combining Sailors for the Sea’s goal of educating boaters about marine conservation with Oceana’s experience mobilizing supporters to advocate for policy that supports healthy and abundant oceans, the Green Boating Initiative creates a global network of active, engaged ocean champions within the sailing and boating community.",What role does Oceana play in the Green Boating Initiative?,Oceana plays a role in the Green Boating Initiative by leveraging its experience in mobilizing supporters to advocate for policy changes that support healthy and abundant oceans.,ESGBERT/environment_data,none,1,1,0,1,0,
"We will expand rollout of SMART for health, creating a robust worldwide network of wildlife disease sentinels collecting and sharing information to stop the consumption of illegally caught wild meat—and prevent future pandemics.",What is the role of the Stewardship Steering Committee in addressing material issues?,The Stewardship Steering Committee is responsible for setting direction and driving accountability in addressing material issues.,ESGBERT/social_data,none,1,1,0,1,0,
